1,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
2,2008,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
3,2008,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
4,2008,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore
5,2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
6,2008,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
7,2008,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
8,2008,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
9,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
10,2008,Kings XI Punjab,Mumbai Indians,Kings XI Punjab
11,2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
12,2008,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
13,2008,Mumbai Indians,Deccan Chargers,Deccan Chargers
14,2008,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
15,2008,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
16,2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
17,2008,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils
18,2008,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
19,2008,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
20,2008,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils
21,2008,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore
22,2008,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab
23,2008,Mumbai Indians,Delhi Daredevils,Mumbai Indians
24,2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals
25,2008,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab
26,2008,Chennai Super Kings,Deccan Chargers,Deccan Chargers
27,2008,Rajasthan Royals,Mumbai Indians,Mumbai Indians
28,2008,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
29,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
30,2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals
